,index,fold,model,overfit,task,test,tool,train,val,seed
138,138,3,best_ensemble_model,0.0,kr-vs-kp,1.0,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9953623213686942,inf,0
139,139,4,best_ensemble_model,0.0,kr-vs-kp,1.0,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9950604434262322,inf,0
140,140,0,best_ensemble_model,0.0,segment,0.9913419913419912,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9903954802259888,inf,0
141,141,1,best_ensemble_model,0.0,segment,0.9696969696969696,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9879741727199356,inf,0
142,142,2,best_ensemble_model,0.0,segment,0.9913419913419912,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9841269841269841,inf,0
143,143,3,best_ensemble_model,0.0,segment,0.9956709956709956,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9834535834535836,inf,0
144,144,4,best_ensemble_model,0.0,segment,1.0,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9836459836459835,inf,0
145,145,0,best_ensemble_model,0.0,vehicle,0.8478896103896105,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8760121457489879,inf,0
146,146,1,best_ensemble_model,0.0,vehicle,0.7673160173160173,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8827597840755735,inf,0
147,147,2,best_ensemble_model,0.0,vehicle,0.7094155844155845,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8768556005398109,inf,0
148,148,3,best_ensemble_model,0.0,vehicle,0.8116341991341991,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.9220366621682412,inf,0
149,149,4,best_ensemble_model,0.0,vehicle,0.814935064935065,autosklearnHyperBandFolds_eta2_cv5_repeats10,0.8830690508322088,inf,0
150,150,0,best_ensemble_model,0.0,Albert,0.6753362806885523,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.6777278428093645,inf,0
151,151,1,best_ensemble_model,0.0,Albert,0.6761358291788166,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.6779499372909699,inf,0
152,152,2,best_ensemble_model,0.0,Albert,0.6776643777631455,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.6772836538461539,inf,0
153,153,3,best_ensemble_model,0.0,Albert,0.6764885711598156,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.6770093018394648,inf,0
154,154,4,best_ensemble_model,0.0,Albert,0.6779700874800113,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.6768786580267558,inf,0
