,tool,model,task,fold_foldmean,overfit_seedmean_foldmean,seed_seedmean_foldmean,test_seedmean_foldmean,train_seedmean_foldmean,val_seedmean_foldmean
140,autosklearnBBCEnsembleSelection_es1_B10_N1.0,best_ensemble_model,Albert,3.0,0.0,127.0,0.6538660521117486,0.6522896002954323,inf
141,autosklearnBBCEnsembleSelection_es1_B10_N1.0,best_ensemble_model,Australian,2.0,0.0,127.0,0.8466893039049236,0.8801739130434783,inf
142,autosklearnBBCEnsembleSelection_es1_B10_N1.0,best_ensemble_model,MiniBooNE,2.0,0.0,127.0,0.9278907619228576,0.9293096679398133,inf
143,autosklearnBBCEnsembleSelection_es1_B10_N1.0,best_ensemble_model,adult,2.0,0.0,127.0,0.8431682164972655,0.8434336365974469,inf
144,autosklearnBBCEnsembleSelection_es1_B10_N1.0,best_ensemble_model,cnae-9,2.0,0.0,127.0,0.937037037037037,0.956872427983539,inf
145,autosklearnBBCEnsembleSelection_es1_B10_N1.0,best_ensemble_model,connect-4,2.0,0.0,127.0,0.6833373509039125,0.6757387064487472,inf
146,autosklearnBBCEnsembleSelection_es1_B10_N1.0,best_ensemble_model,higgs,2.0,0.0,127.0,0.7333641050071293,0.7288054676605251,inf
147,autosklearnBBCEnsembleSelection_es1_B10_N1.0,best_ensemble_model,kr-vs-kp,2.0,0.0,127.0,0.9972885601346327,0.9964980220453272,inf
148,autosklearnBBCEnsembleSelection_es1_B10_N1.0,best_ensemble_model,segment,2.0,0.0,127.0,0.9906493506493504,0.9856661856661857,inf
149,autosklearnBBCEnsembleSelection_es1_B10_N1.0,best_ensemble_model,vehicle,2.0,0.0,127.0,0.8476233766233767,0.8546833934977052,inf
150,autosklearnBBCEnsembleSelection_es1_B50_N0.5,best_ensemble_model,Albert,3.0,0.0,127.0,0.6538660521117486,0.6522896002954323,inf
151,autosklearnBBCEnsembleSelection_es1_B50_N0.5,best_ensemble_model,Australian,2.0,0.0,127.0,0.8434634974533107,0.8808115942028986,inf
