,tool,model,task,fold,index,overfit,test,train,val,seed
141,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,segment,1,141,0.0,0.9826839826839827,0.9862113195446528,inf,1
142,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,segment,2,142,0.0,0.9913419913419913,0.986050986050986,inf,1
143,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,segment,3,143,0.0,0.987012987012987,0.9868526535193202,inf,1
144,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,segment,4,144,0.0,0.997113997113997,0.986050986050986,inf,1
145,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,vehicle,0,145,0.0,0.8830627705627707,0.8660121231039509,inf,1
146,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,vehicle,1,146,0.0,0.8252164502164502,0.8743969470745104,inf,1
147,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,vehicle,2,147,0.0,0.8062770562770561,0.8680517388266434,inf,1
148,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,vehicle,3,148,0.0,0.8057359307359309,0.8633085353221425,inf,1
149,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats10_avgTrue,best_ensemble_model,vehicle,4,149,0.0,0.8336940836940836,0.87071493859125,inf,1
150,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,Albert,0,150,0.0,0.5680556862007338,0.5678231377836307,inf,1
151,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,Albert,1,151,0.0,0.5666212021446713,0.5682986862320886,inf,1
152,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,Albert,2,152,0.0,0.5673502022387357,0.5681680410539407,inf,1
153,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,Albert,3,153,0.0,0.5649750729000094,0.5682020088002592,inf,1
154,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,Albert,4,154,0.0,0.5707835575204591,0.5675487829095204,inf,1
155,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,Australian,0,155,0.0,0.9141199773627618,0.8913043478260869,inf,1
156,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,Australian,1,156,0.0,0.8583757781550649,0.8962560386473429,inf,1
157,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,Australian,2,157,0.0,0.8433786078098472,0.8967391304347826,inf,1
158,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,Australian,3,158,0.0,0.8429541595925297,0.8942028985507248,inf,1
159,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,Australian,4,159,0.0,0.8989813242784379,0.8968599033816425,inf,1
160,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,MiniBooNE,0,160,0.0,0.9280838168187028,0.9317947871471396,inf,1
161,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,MiniBooNE,1,161,0.0,0.9154690576683487,0.9232435885353191,inf,1
162,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,MiniBooNE,2,162,0.0,0.9272881631362352,0.9314934734352116,inf,1
163,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,MiniBooNE,3,163,0.0,0.9334817534597936,0.9306430200261636,inf,1
164,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,MiniBooNE,4,164,0.0,0.9311289496423248,0.9309085366929347,inf,1
165,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,adult,0,165,0.0,0.8497908841704566,0.8446316576907563,inf,1
166,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,adult,1,166,0.0,0.8373362839137962,0.8461337632911504,inf,1
167,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,adult,2,167,0.0,0.8500039628706665,0.8453944005393388,inf,1
168,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,adult,3,168,0.0,0.845131628745988,0.846209978006946,inf,1
169,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,adult,4,169,0.0,0.8365537033487179,0.8473556593447427,inf,1
170,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,cnae-9,0,170,0.0,0.9660493827160493,0.9629629629629631,inf,1
171,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,cnae-9,1,171,0.0,0.9012345679012345,0.9735939643347051,inf,1
172,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,cnae-9,2,172,0.0,0.9629629629629628,0.9705075445816186,inf,1
173,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,cnae-9,3,173,0.0,0.9444444444444443,0.9670781893004117,inf,1
174,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,cnae-9,4,174,0.0,0.95679012345679,0.9581618655692731,inf,1
175,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,connect-4,0,175,,,,,1
176,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,connect-4,1,176,,,,,1
177,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,connect-4,2,177,,,,,1
178,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,connect-4,3,178,,,,,1
179,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,connect-4,4,179,,,,,1
180,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,higgs,0,180,0.0,0.7363918121873639,0.7326371022019839,inf,1
181,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,higgs,1,181,0.0,0.7219999711141738,0.7322615427904714,inf,1
182,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,higgs,2,182,0.0,0.7369846186315415,0.731356563899173,inf,1
183,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,higgs,3,183,0.0,0.7354419755762128,0.7306942028261959,inf,1
184,autosklearnHyperBandAVGRepeats_eta3_cv5_repeats5_avgFalse,best_ensemble_model,higgs,4,184,0.0,0.7346674249512416,0.7307504069170925,inf,1
