,hue,repeated_ensemble,performance,model,dataset_name,level,repeat,splits,seed,val_score
12,test_performance_singlemodelFalse,False,0.9950213059280612,GradientBoostingClassifier,3,1,5,2,10,0.9920257266162935
13,test_performance_singlemodelFalse,False,0.5760869565217391,MLPClassifier,10101,1,5,2,5,0.5314685314685315
13,test_performance_singlemodelFalse,False,0.6005477308294209,MLPClassifier,10101,1,5,2,98,0.5800716745133863
13,test_performance_singlemodelFalse,False,0.6174233933043647,MLPClassifier,7592,1,5,2,97,0.635184071290631
13,test_performance_singlemodelFalse,False,0.6176379895158803,MLPClassifier,10101,1,5,2,80,0.6698717948717948
13,test_performance_singlemodelFalse,False,0.6183048433048433,MLPClassifier,10101,1,5,2,97,0.593240284619595
13,test_performance_singlemodelFalse,False,0.6217647460824652,MLPClassifier,7592,1,5,2,34,0.6194960849311745
13,test_performance_singlemodelFalse,False,0.6246252997601919,MLPClassifier,10101,1,5,2,49,0.5771640192753882
13,test_performance_singlemodelFalse,False,0.6277343480763086,MLPClassifier,7592,1,5,2,31,0.6218896010090386
13,test_performance_singlemodelFalse,False,0.6305906726650433,MLPClassifier,7592,1,5,2,1,0.6333811024723394
13,test_performance_singlemodelFalse,False,0.7300462348953728,MLPClassifier,53,1,5,2,12,0.7512277690643676
13,test_performance_singlemodelFalse,False,0.7566770578106549,MLPClassifier,53,1,5,2,17,0.7519035247737863
13,test_performance_singlemodelFalse,False,0.7590846820440933,MLPClassifier,53,1,5,2,95,0.7592865566037736
13,test_performance_singlemodelFalse,False,0.7598927489196672,MLPClassifier,7592,1,5,2,13,0.6263423874149989
13,test_performance_singlemodelFalse,False,0.7679563492063491,MLPClassifier,53,1,5,2,59,0.763025037334219
13,test_performance_singlemodelFalse,False,0.7866315390925728,MLPClassifier,53,1,5,2,46,0.7521507173351362
13,test_performance_singlemodelFalse,False,0.8429718875502008,MLPClassifier,146818,1,5,2,8,0.8442908946855192
13,test_performance_singlemodelFalse,False,0.8830445544554455,MLPClassifier,146818,1,5,2,90,0.8297872340425532
13,test_performance_singlemodelFalse,False,0.8955678278108185,MLPClassifier,146818,1,5,2,47,0.8362499248301161
13,test_performance_singlemodelFalse,False,0.9017642341619887,MLPClassifier,146818,1,5,2,32,0.8334276018099547
13,test_performance_singlemodelFalse,False,0.9239919354838709,MLPClassifier,146818,1,5,2,78,0.8331611727176059
13,test_performance_singlemodelFalse,False,0.968111746694425,MLPClassifier,146822,1,5,2,17,0.9728376171640506
13,test_performance_singlemodelFalse,False,0.9698679224006556,MLPClassifier,146822,1,5,2,55,0.9749067952236884
13,test_performance_singlemodelFalse,False,0.9710109031476133,MLPClassifier,146822,1,5,2,78,0.9706630504923961
13,test_performance_singlemodelFalse,False,0.9744573958615704,MLPClassifier,146822,1,5,2,25,0.9703518948910984
13,test_performance_singlemodelFalse,False,0.9823498964803313,MLPClassifier,146822,1,5,2,67,0.9671327013582364
13,test_performance_singlemodelFalse,False,0.9936390996300708,MLPClassifier,3,1,5,2,93,0.9925136556337428
