,id,task,framework,constraint,fold,result,metric,mode,version,params,tag,utc,duration,models,seed,info,acc
36,openml.org/t/168908,christine,AutoPyTorch_refactor,3600s8c32G,6,0.732472,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:24:27,3667.9,0,1025166017,,0.732472
36,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,6,0.898916169,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.898916169
37,openml.org/t/168908,christine,AutoPyTorch_refactor,3600s8c32G,7,0.7269369999999999,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:23:17,3666.6,0,2273093961,,0.7269369999999999
37,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,7,0.9059942490999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9059942490999999
38,openml.org/t/168908,christine,AutoPyTorch_refactor,3600s8c32G,8,0.731978,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:19:09,3674.3,0,1345881445,,0.731978
38,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,8,0.9143994690999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9143994690999999
39,openml.org/t/168908,christine,AutoPyTorch_refactor,3600s8c32G,9,0.7042510000000001,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:18:00,3676.6,0,1406980931,,0.7042510000000001
39,openml.org/t/XX,bank-marketing,AutoPyTorch_refactor,3600s8c32G,9,0.9073213890999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9073213890999999
4,openml.org/t/146818,Australian,AutoPyTorch_refactor,3600s8c32G,4,0.8405799999999999,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:14:39,3622.6,0,1742878128,,0.8405799999999999
4,openml.org/t/XX,adult,AutoPyTorch_refactor,3600s8c32G,4,0.8691646192,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.8691646192
40,openml.org/t/9981,cnae-9,AutoPyTorch_refactor,3600s8c32G,0,0.9537040000000001,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:16:10,3615.9,0,77479080,,0.9537040000000001
40,openml.org/t/XX,connect-4,AutoPyTorch_refactor,3600s8c32G,0,0.7458555358,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.7458555358
41,openml.org/t/146195,connect-4,AutoPyTorch_refactor,3600s8c32G,1,0.81794,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T19:18:38,3665.7,0,1617378073,,0.81794
41,openml.org/t/9981,cnae-9,AutoPyTorch_refactor,3600s8c32G,1,0.898148,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:16:16,3618.0,0,1394043873,,0.898148
