,task,fold,framework,seed,search_improvement_opt,search_improvement_test,intensify_improvement_opt,intensify_improvement_test
86,vehicle,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.0926170968615363,0.20099618705651012,0.20322779371487956,0.20775802536000257
87,kr-vs-kp,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,2.0362897626429572e-05,0.0,-0.00018533087238180123,-0.00011741223435479675
88,Australian,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.003843730308758689,0.019524617996604432,-0.007493379624481597,-0.012550351210093555
89,adult,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.0003648826037066094,0.0009794280932509114,-0.005752650071407384,-0.006232969935493813
90,kr-vs-kp,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,5.958413144383114e-05,0.0,-0.0004980983988075412,3.913741145161742e-05
91,kr-vs-kp,1,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,5.5249504877278154e-05,0.0002348244687095935,-0.00024216299146462858,0.0007827482290321541
92,segment,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.009349010540896693,0.04691496404807348,0.03694691874384689,0.030036425322810013
93,segment,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.0031767943946450494,0.011242834272234659,0.012544095510097745,0.018039326988322116
94,Albert,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.006921093825763891,0.006317038949165021,0.010709075584315941,0.012477846370195333
95,MiniBooNE,0,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,-0.00020779777567218535,0.000671184564775329,0.020499783593011047,0.012020463765315246
96,adult,4,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,0.0004542341015894985,0.0007255278912364771,-0.005055965201176716,-0.005776771994546612
97,MiniBooNE,3,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,-0.00030725414470455896,-4.35539432056542e-05,0.01668929451631113,0.015537863138626484
98,connect-4,2,autosklearnEnsembleIntensification_10incumbents_folds351053_level2_20diversestacks_stackAny_dynamic_TieBreak_MedianRule10_heuristic_fullbeforetrans_repeats_as_individual_modelsFalse,1,-0.011767817626350707,0.007363686463119468,0.1021677517535934,0.11911247196404867
