,hue,performance,model,dataset_name,stack
221,test_performance_singlemodelTrue,0.6367821473158553,RandomForestClassifier,31,21
222,test_performance_singlemodelTrue,0.6840667915106118,RandomForestClassifier,31,22
223,test_performance_singlemodelTrue,0.6715043695380774,RandomForestClassifier,31,23
224,test_performance_singlemodelTrue,0.6590980024968789,RandomForestClassifier,31,24
225,test_performance_singlemodelTrue,0.6633895131086143,RandomForestClassifier,31,25
226,test_performance_singlemodelTrue,0.6675249687890137,RandomForestClassifier,31,26
227,test_performance_singlemodelTrue,0.6410736579275905,RandomForestClassifier,31,27
228,test_performance_singlemodelTrue,0.6370942571785269,RandomForestClassifier,31,28
229,test_performance_singlemodelTrue,0.6468476903870162,RandomForestClassifier,31,29
230,test_performance_singlemodelTrue,0.6885143570536829,RandomForestClassifier,31,30
231,test_performance_singlemodelTrue,0.6871878901373283,RandomForestClassifier,31,31
232,test_performance_singlemodelTrue,0.6731429463171037,RandomForestClassifier,31,32
233,test_performance_singlemodelTrue,0.6870318352059925,RandomForestClassifier,31,33
234,test_performance_singlemodelTrue,0.6870318352059925,RandomForestClassifier,31,34
235,test_performance_singlemodelTrue,0.691167290886392,RandomForestClassifier,31,35
236,test_performance_singlemodelTrue,0.6857053682896379,RandomForestClassifier,31,36
237,test_performance_singlemodelTrue,0.6718164794007491,RandomForestClassifier,31,37
238,test_performance_singlemodelTrue,0.6620630461922596,RandomForestClassifier,31,38
239,test_performance_singlemodelTrue,0.6731429463171037,RandomForestClassifier,31,39
240,test_performance_singlemodelTrue,0.6703339575530587,RandomForestClassifier,31,40
241,test_performance_singlemodelTrue,0.6648720349563046,RandomForestClassifier,31,41
242,test_performance_singlemodelTrue,0.6815699126092385,RandomForestClassifier,31,42
243,test_performance_singlemodelTrue,0.6870318352059925,RandomForestClassifier,31,43
244,test_performance_singlemodelTrue,0.6718164794007491,RandomForestClassifier,31,44
245,test_performance_singlemodelTrue,0.6344413233458177,RandomForestClassifier,31,45
246,test_performance_singlemodelTrue,0.677434456928839,RandomForestClassifier,31,46
247,test_performance_singlemodelTrue,0.6509831460674158,RandomForestClassifier,31,47
248,test_performance_singlemodelTrue,0.6592540574282147,RandomForestClassifier,31,48
249,test_performance_singlemodelTrue,0.6566011235955056,RandomForestClassifier,31,49
250,val_performance_singlemodelTrue,0.6802026618269813,RandomForestClassifier,31,0
251,val_performance_singlemodelTrue,0.6470306513409961,RandomForestClassifier,31,1
252,val_performance_singlemodelTrue,0.6449637023593466,RandomForestClassifier,31,2
253,val_performance_singlemodelTrue,0.6617009477717282,RandomForestClassifier,31,3
254,val_performance_singlemodelTrue,0.6440310546481145,RandomForestClassifier,31,4
255,val_performance_singlemodelTrue,0.6559286146400484,RandomForestClassifier,31,5
256,val_performance_singlemodelTrue,0.6545674531155474,RandomForestClassifier,31,6
257,val_performance_singlemodelTrue,0.66717080056463,RandomForestClassifier,31,7
258,val_performance_singlemodelTrue,0.6726406533575318,RandomForestClassifier,31,8
